kge	nse	pbias	corr	d	md	aic	bic	model	method	stage	catchment
0.7765	0.5403	-0.5000	0.7818	0.8821	0.7139	243.1305	247.9633	gr2m	gensa	val	santarosa
0.9574	0.9147	0.0000	0.9574	0.9783	0.8511	390.8348	406.4735	abcd	gensa	cal	santarosa
0.7184	0.4529	9.8000	0.7361	0.8544	0.6275	257.5746	268.8510	abcd	gensa	val	santarosa
0.9545	0.9089	0.2000	0.9546	0.9768	0.8631	395.3249	410.9637	budyko	gensa	cal	santarosa
0.7166	0.4934	8.3000	0.7375	0.8553	0.6659	254.7256	266.0020	budyko	gensa	val	santarosa
0.9546	0.9098	-0.5000	0.9552	0.9771	0.8464	398.6548	418.7617	awbm	gensa	cal	santarosa
0.7297	0.4772	5.0000	0.7352	0.8560	0.6497	259.8947	274.3929	awbm	gensa	val	santarosa
0.9462	0.8927	0.1000	0.9463	0.9725	0.8254	408.6292	426.5020	ihacres	gensa	cal	santarosa
0.7096	0.5099	0.0000	0.7314	0.8494	0.6512	257.5052	272.0035	ihacres	gensa	val	santarosa
0.9052	0.8103	0.1000	0.9053	0.9505	0.7601	449.9602	470.0672	simhyd	gensa	cal	santarosa
0.5598	0.3267	2.9000	0.6063	0.7619	0.6090	269.2524	283.7507	simhyd	gensa	val	santarosa
0.8577	0.7138	1.5000	0.8594	0.9246	0.7499	798.3561	806.4302	gr2m	gensa	cal	corobici
0.7900	0.7533	-14.0000	0.9050	0.9422	0.7959	853.3459	861.6833	gr2m	gensa	val	corobici
0.8822	0.7639	0.0000	0.8822	0.9376	0.7516	785.3882	804.2276	abcd	gensa	cal	corobici
0.7775	0.7574	16.3000	0.9125	0.9446	0.7832	859.3729	878.8267	abcd	gensa	val	corobici
0.8998	0.8013	-0.1000	0.9000	0.9477	0.7644	766.6011	785.4405	budyko	gensa	cal	corobici
0.7882	0.7101	13.2000	0.8860	0.9325	0.7533	880.5742	900.0280	budyko	gensa	val	corobici
0.8547	0.7088	-2.0000	0.8566	0.9231	0.7328	812.2451	836.4672	awbm	gensa	cal	corobici
0.8042	0.7374	12.4000	0.8949	0.9385	0.7712	872.7962	897.8083	awbm	gensa	val	corobici
0.8794	0.7579	-0.7000	0.8798	0.9366	0.7392	790.1272	811.6580	ihacres	gensa	cal	corobici
0.8823	0.8255	0.0000	0.9088	0.9509	0.7947	824.1276	849.1397	ihacres	gensa	val	corobici
0.8475	0.7161	1.8000	0.8534	0.9217	0.7246	809.5025	833.7247	simhyd	gensa	cal	corobici
0.8017	0.7080	13.8000	0.8610	0.9207	0.7222	885.4286	910.4407	simhyd	gensa	val	corobici
0.8820	0.7740	3.3000	0.8934	0.9437	0.7784	898.4013	907.1172	gr2m	gensa	cal	tenorio
0.6575	0.5380	-9.3000	0.8755	0.9091	0.7576	422.8823	429.4512	gr2m	gensa	val	tenorio
0.8914	0.7828	-0.5000	0.8916	0.9438	0.7785	901.0748	921.4118	abcd	gensa	cal	tenorio
0.6022	0.2131	8.1000	0.7382	0.8381	0.6449	466.0288	481.3564	abcd	gensa	val	tenorio
0.8686	0.7411	-3.4000	0.8753	0.9340	0.7463	924.7896	945.1265	budyko	gensa	cal	tenorio
